iter	RMSE
0	0.3493560552
1	0.3460933352
2	0.3431266648
3	0.3402598033
4	0.3375055284
5	0.3350572061
6	0.3322321376
7	0.3296855722
8	0.3269499397
9	0.3245646388
10	0.3219730354
11	0.3195812655
12	0.3169045499
13	0.3145214777
14	0.3120390523
15	0.3099079124
16	0.3074676556
17	0.3053845091
18	0.3033227668
19	0.301085759
20	0.2992243409
21	0.2971257979
22	0.2953340239
23	0.2934531271
24	0.2921506304
25	0.2904210306
26	0.2883344115
27	0.2864849689
28	0.2848290939
29	0.28324568
30	0.2819568147
31	0.2803907127
32	0.2789839251
33	0.2773902657
34	0.2761707843
35	0.2747399932
36	0.2731343532
37	0.2715799877
38	0.2705963392
39	0.2696843249
40	0.2683369092
41	0.2674706664
42	0.2662567284
43	0.265662951
44	0.2643296772
45	0.2632224718
46	0.2623332608
47	0.2613138491
48	0.2602460141
49	0.2593057352
50	0.2584155086
51	0.2570615571
52	0.2558757696
53	0.255051301
54	0.2542478821
55	0.2532555353
56	0.2523426356
57	0.2514385469
58	0.2507514174
59	0.2499173487
60	0.2491273965
61	0.2484354288
62	0.2476495127
63	0.2467123894
64	0.245951707
65	0.2453779901
66	0.2445193331
67	0.2438860218
68	0.2433072604
69	0.2423951347
70	0.2415764365
71	0.2409147965
72	0.240438738
73	0.239940694
74	0.2394132372
75	0.2387390256
76	0.2379954323
77	0.2373034202
78	0.2365634903
79	0.2360081187
80	0.2353398191
81	0.2346814615
82	0.234054138
83	0.233454788
84	0.233001038
85	0.2325576243
86	0.2319694476
87	0.231421925
88	0.2308708689
89	0.23030614
90	0.2299894414
91	0.2295771666
92	0.2292604258
93	0.2287818279
94	0.2281713379
95	0.2277116495
96	0.2273579142
97	0.2269851475
98	0.2264334114
99	0.2259292808
100	0.2254193865
101	0.2248690525
102	0.2243773457
103	0.2240970314
104	0.2236777809
105	0.2232881371
106	0.222839967
107	0.2224759763
108	0.2222342945
109	0.2219481771
110	0.221626962
111	0.2211471979
112	0.2207062075
113	0.2203908236
114	0.2200506063
115	0.2196128534
116	0.2191902245
117	0.2188842762
118	0.2185035115
119	0.2180370326
120	0.2175717268
121	0.217282688
122	0.2169221071
123	0.2165120697
124	0.2160549075
125	0.2158515883
126	0.215330498
127	0.2149956852
128	0.2145703348
129	0.2141711435
130	0.2137517397
131	0.2134740674
132	0.2130767677
133	0.2127841803
134	0.2123920784
135	0.2119964463
136	0.2116004149
137	0.2111944819
138	0.2108686636
139	0.2105914185
140	0.2102771323
141	0.2099696408
142	0.2097181055
143	0.2095259966
144	0.2090836176
145	0.2087449165
146	0.2083401797
147	0.2081311176
148	0.2079526274
149	0.207697701
150	0.20745399
151	0.2073007311
152	0.207060375
153	0.2068165515
154	0.2064487504
155	0.2061409825
156	0.2058835651
157	0.2056338424
158	0.2053673034
159	0.2050181762
160	0.2045906053
161	0.2043552563
162	0.2041721647
163	0.2038968907
164	0.2035991388
165	0.2032546305
166	0.2031145744
167	0.2029135644
168	0.2025720508
169	0.2023424961
170	0.2019953785
171	0.2015873125
172	0.2014205841
173	0.2011245711
174	0.2007991712
175	0.2005285011
176	0.2003847281
177	0.2001095849
178	0.199871834
