iter	Passed	Remaining
0	3	1920
1	7	1900
2	10	1703
3	12	1600
4	15	1581
5	18	1521
6	30	2147
7	39	2435
8	42	2301
9	44	2189
10	47	2126
11	50	2055
12	53	2005
13	56	1975
14	59	1926
15	63	1916
16	67	1923
17	70	1889
18	73	1862
19	76	1824
20	78	1787
21	81	1763
22	84	1759
23	88	1759
24	91	1745
25	94	1725
26	97	1707
27	99	1683
28	102	1671
29	105	1656
30	108	1643
31	112	1647
32	116	1645
33	118	1627
34	121	1612
35	124	1598
36	126	1581
37	129	1573
38	132	1561
39	134	1548
40	137	1537
41	141	1537
42	144	1534
43	147	1524
44	149	1514
45	152	1505
46	155	1494
47	157	1485
48	161	1488
49	164	1482
50	167	1474
51	170	1469
52	173	1463
53	176	1458
54	179	1455
55	182	1450
56	186	1446
57	188	1440
58	191	1430
59	193	1422
60	196	1415
61	199	1406
62	201	1399
63	204	1396
64	208	1393
65	210	1385
66	213	1378
67	215	1370
68	218	1364
69	221	1359
70	224	1354
71	226	1349
72	229	1341
73	232	1336
74	235	1337
75	238	1332
76	241	1325
77	244	1322
78	247	1317
79	250	1312
80	253	1312
81	256	1307
82	259	1303
83	262	1298
84	264	1292
85	267	1286
86	269	1281
87	272	1276
88	275	1274
89	278	1268
90	281	1263
91	283	1256
92	286	1251
93	288	1246
94	290	1240
95	293	1233
96	295	1226
97	297	1220
98	301	1219
99	304	1216
100	307	1213
101	309	1208
102	311	1202
103	314	1196
104	316	1191
105	319	1186
106	321	1179
107	323	1173
108	325	1167
109	327	1161
110	329	1154
111	332	1150
112	334	1145
113	336	1140
114	339	1137
115	342	1134
116	344	1128
117	347	1125
118	350	1120
119	352	1115
120	354	1111
121	357	1107
122	359	1102
123	362	1097
124	364	1093
125	367	1089
126	369	1085
127	371	1081
128	374	1077
129	377	1074
130	381	1073
131	383	1070
132	386	1065
133	388	1060
134	390	1055
135	392	1051
136	395	1047
137	398	1044
138	400	1039
139	402	1035
140	405	1031
141	407	1027
142	409	1022
143	412	1020
144	415	1017
145	418	1014
146	420	1010
147	423	1008
148	426	1003
149	428	1000
150	431	996
151	433	993
152	435	988
153	438	984
154	440	979
155	443	977
156	445	973
157	447	969
158	450	965
159	452	961
160	454	956
161	456	952
162	459	949
163	462	946
164	465	944
165	467	941
166	470	937
167	472	933
168	474	929
169	477	927
170	480	924
171	482	920
172	485	917
173	487	913
174	490	910
175	492	906
176	494	902
177	496	898
178	498	894
179	500	890
180	503	886
181	504	882
182	507	879
183	510	875
184	512	872
185	515	870
186	518	867
187	520	864
188	523	860
189	525	857
190	528	854
191	530	850
192	532	847
193	534	843
194	536	839
195	539	836
196	541	832
197	543	828
198	545	825
199	547	821
200	549	817
201	551	813
202	554	810
203	556	808
204	559	804
205	561	801
206	564	798
207	566	795
208	569	793
209	573	791
210	576	789
211	578	785
212	580	782
213	583	779
214	587	778
215	589	775
216	592	773
217	595	770
218	598	767
219	600	763
220	603	761
221	605	758
222	607	754
223	610	751
224	612	748
225	614	745
226	617	742
227	619	739
228	622	736
229	624	732
230	626	729
231	628	726
232	630	722
233	633	720
234	637	718
235	639	715
236	642	712
237	644	709
238	646	706
239	649	703
240	653	702
241	655	699
242	658	696
243	660	692
244	662	689
245	664	686
246	667	684
247	671	682
248	673	679
249	676	676
250	678	672
251	680	669
252	683	667
253	686	664
254	688	661
255	690	658
256	693	655
257	695	652
258	699	650
259	702	648
260	705	645
261	708	643
262	709	639
263	711	636
264	714	633
265	716	630
266	719	627
267	722	625
268	725	622
269	728	620
270	732	618
271	733	614
272	736	612
273	738	609
274	741	606
275	744	604
276	748	602
277	751	599
278	753	596
279	755	593
280	758	590
281	761	588
282	764	585
283	766	582
284	768	579
285	770	576
286	772	573
287	774	570
288	778	568
289	781	566
290	783	562
291	785	559
292	788	556
293	790	554
294	793	551
295	796	548
296	798	545
297	801	543
298	803	540
299	806	537
300	808	534
301	811	531
302	813	528
303	816	526
304	818	523
305	821	520
306	823	517
307	826	515
308	829	512
309	830	509
310	833	506
311	835	503
312	837	500
313	839	497
314	843	495
315	846	492
316	848	489
317	850	486
318	852	483
319	854	480
320	857	478
321	859	475
322	861	472
323	864	469
324	866	466
325	868	463
326	870	460
327	873	458
328	876	455
329	879	452
330	881	450
331	883	447
332	886	444
333	889	441
334	891	439
335	893	436
336	895	433
337	898	430
338	900	427
339	903	425
340	906	422
341	909	420
342	912	417
343	914	414
344	916	411
345	920	409
346	923	406
347	925	404
348	927	401
349	929	398
350	931	395
351	934	392
352	936	390
353	939	387
354	942	384
355	944	381
356	946	379
357	949	376
358	951	373
359	954	371
360	957	368
361	959	365
362	961	362
363	963	360
364	966	357
365	970	355
366	973	352
367	975	350
368	978	347
369	980	344
370	983	341
371	986	339
372	988	336
373	990	333
374	992	330
375	994	328
376	997	325
377	999	322
378	1002	319
379	1004	317
380	1007	314
381	1010	312
382	1012	309
383	1015	306
384	1018	304
385	1020	301
386	1022	298
387	1024	295
388	1026	293
389	1029	290
390	1033	288
391	1035	285
392	1037	282
393	1039	279
394	1042	277
395	1044	274
396	1047	271
397	1050	269
398	1053	266
399	1055	263
400	1057	261
401	1059	258
402	1062	255
403	1064	252
404	1066	250
405	1068	247
406	1070	244
407	1072	241
408	1074	239
409	1076	236
410	1080	233
411	1082	231
412	1084	228
413	1086	225
414	1088	223
415	1091	220
416	1093	217
417	1097	215
418	1099	212
419	1101	209
420	1103	207
421	1106	204
422	1108	201
423	1111	199
424	1114	196
425	1116	194
426	1119	191
427	1121	188
428	1123	186
429	1127	183
430	1130	180
431	1132	178
432	1134	175
433	1136	172
434	1139	170
435	1142	167
436	1145	165
437	1147	162
438	1149	159
439	1152	157
440	1154	154
441	1156	151
442	1159	149
443	1162	146
444	1164	143
445	1167	141
446	1169	138
447	1171	135
448	1174	133
449	1177	130
450	1179	128
451	1181	125
452	1183	122
453	1185	120
454	1188	117
455	1192	115
456	1195	112
457	1197	109
458	1199	107
459	1201	104
460	1203	101
461	1207	99
462	1210	96
463	1212	94
464	1215	91
465	1217	88
466	1220	86
467	1223	83
468	1225	81
469	1227	78
470	1229	75
471	1231	73
472	1233	70
473	1236	67
474	1239	65
475	1241	62
476	1243	59
477	1245	57
478	1247	54
479	1249	52
480	1252	49
481	1256	46
482	1258	44
483	1261	41
484	1263	39
485	1265	36
486	1268	33
487	1271	31
488	1273	28
489	1275	26
490	1278	23
491	1280	20
492	1283	18
493	1285	15
494	1288	13
495	1291	10
496	1293	7
497	1295	5
498	1297	2
499	1300	0
